epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,251.784,1.24979,1.05765,0.95045,0.64356,0.52995,0.61626,0.44717,1.39641,1.03089,0.9353,0.000456863,0.000456863,0.000456863
43,257.094,1.23895,1.01122,0.93109,0.49515,0.62997,0.59231,0.41957,1.37686,1.05337,0.92326,0.00044925,0.00044925,0.00044925
44,264.351,1.25049,1.04895,0.94539,0.5485,0.55663,0.59641,0.44004,1.29621,1.03646,0.91391,0.000441637,0.000441637,0.000441637
45,269.609,1.23785,1.01803,0.93721,0.59163,0.51104,0.59264,0.44223,1.3127,1.03595,0.91558,0.000434024,0.000434024,0.000434024
46,276.241,1.22289,1.025,0.95095,0.56585,0.55622,0.62268,0.45246,1.36607,1.01028,0.92595,0.000426411,0.000426411,0.000426411
47,281.684,1.22263,1.00005,0.93527,0.55499,0.51447,0.6118,0.44833,1.30121,0.99133,0.92111,0.000418797,0.000418797,0.000418797
48,287.579,1.21225,0.99147,0.9373,0.55871,0.5786,0.62984,0.45066,1.32161,0.97015,0.90342,0.000411184,0.000411184,0.000411184
49,293.621,1.20232,0.98438,0.92377,0.70001,0.61439,0.69042,0.48262,1.30351,0.96306,0.8989,0.000403571,0.000403571,0.000403571
50,299.637,1.19353,1.01919,0.93614,0.71562,0.62828,0.69341,0.49504,1.27609,0.93752,0.89386,0.000395958,0.000395958,0.000395958
51,305.933,1.19891,0.97179,0.92134,0.71143,0.62102,0.68657,0.49054,1.26367,0.92915,0.89322,0.000388345,0.000388345,0.000388345
52,311.726,1.14693,0.95986,0.92045,0.65974,0.70589,0.70219,0.50985,1.31926,0.94643,0.89623,0.000380732,0.000380732,0.000380732
53,317.905,1.17654,0.9951,0.93649,0.67943,0.63519,0.6838,0.50278,1.29481,0.92647,0.8958,0.000373119,0.000373119,0.000373119
54,323.526,1.16213,0.95679,0.92078,0.76408,0.60063,0.71971,0.49162,1.25199,0.90694,0.88876,0.000365506,0.000365506,0.000365506
55,330.353,1.23199,0.96295,0.92142,0.82609,0.5881,0.76174,0.50276,1.27003,0.92006,0.88723,0.000357893,0.000357893,0.000357893
56,336.036,1.21524,0.97522,0.92507,0.71186,0.5918,0.75986,0.47914,1.29419,0.94448,0.89157,0.00035028,0.00035028,0.00035028
